neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,cleaning_fee,guests_included,extra_people,minimum_nights,amen_score
29,1,0,5,1.0,1.0,3.0,3,18502.0,5972.0,2,2544.0,1,18
27,10,0,3,1.0,3.0,3.0,3,9962.0,3000.0,1,0.0,1,32
25,12,1,2,1.0,1.0,1.0,3,2518.0,1500.0,1,1100.0,1,19
45,1,0,2,1.0,2.0,2.0,3,8539.0,4500.0,1,1500.0,2,23
49,1,0,4,1.0,1.0,2.0,3,24961.0,5500.0,2,5000.0,2,45
25,12,1,4,1.0,1.0,2.0,3,6459.0,3000.0,2,1500.0,1,25
45,14,0,6,1.5,2.0,4.0,3,21020.0,7000.0,3,4000.0,1,40
9,14,0,6,1.0,2.0,1.0,3,9853.0,8800.0,2,4000.0,3,43
46,14,2,2,1.0,1.0,0.0,3,4270.0,3000.0,1,2000.0,1,25
51,1,2,1,1.0,1.0,1.0,3,4817.0,2000.0,1,0.0,2,22
51,1,2,3,1.0,1.0,3.0,3,12042.0,3000.0,2,2500.0,2,22
51,1,0,3,1.0,1.0,2.0,3,5912.0,5000.0,1,1000.0,1,17
42,1,2,4,1.0,1.0,4.0,3,6021.0,3000.0,1,6000.0,1,46
46,14,2,3,1.5,1.0,1.0,3,4051.0,0.0,1,3000.0,1,26
45,1,0,4,1.0,1.0,3.0,3,12261.0,0.0,2,2200.0,2,21
51,1,0,4,1.0,1.0,2.0,3,5912.0,5000.0,1,1000.0,1,17
45,1,0,2,1.0,1.0,1.0,3,9962.0,5500.0,1,2000.0,2,24
45,14,0,11,2.0,3.0,8.0,3,24085.0,13137.0,5,2737.0,2,21
7,1,2,2,1.0,1.0,2.0,3,3832.0,1500.0,1,1800.0,2,22
7,1,2,2,1.0,1.0,1.0,3,4708.0,1000.0,1,1500.0,2,23
7,1,2,2,1.0,1.0,2.0,3,4051.0,1500.0,1,1500.0,2,25
46,14,2,3,1.5,1.0,1.0,3,4051.0,0.0,1,3000.0,1,25
49,1,0,2,1.0,1.0,2.0,3,2518.0,1000.0,1,2000.0,1,12
3,1,0,2,1.0,1.0,2.0,3,2518.0,1000.0,1,2000.0,1,11
18,14,2,2,1.0,1.0,2.0,3,4489.0,4000.0,1,3000.0,3,34
47,1,0,5,1.5,2.0,4.0,3,9306.0,6000.0,4,2500.0,3,36
18,14,2,2,1.0,1.0,1.0,3,4489.0,4000.0,1,3000.0,3,34
46,14,2,2,1.5,1.0,1.0,3,4051.0,0.0,1,3000.0,1,26
43,23,0,3,1.0,1.0,2.0,3,20034.0,5000.0,2,5000.0,3,15
42,14,0,3,1.0,1.0,1.0,3,19706.0,4379.0,2,3284.0,1,38
29,14,0,3,1.5,1.0,2.0,3,12042.0,5000.0,2,2000.0,2,31
46,14,2,2,1.5,1.0,1.0,3,4051.0,0.0,1,3000.0,1,26
46,14,2,1,1.5,1.0,1.0,3,4051.0,0.0,1,3000.0,1,26
45,1,0,3,1.0,1.0,2.0,3,7992.0,6000.0,2,2500.0,2,25
3,1,0,2,1.0,1.0,1.0,3,9525.0,4000.0,1,1500.0,3,28
51,14,0,4,1.0,1.0,2.0,3,12042.0,5000.0,3,2500.0,3,31
29,14,0,6,1.0,2.0,6.0,3,14998.0,5000.0,2,1500.0,3,16
19,14,0,7,1.5,3.0,2.0,3,10510.0,4800.0,3,1800.0,3,33
47,1,0,3,1.0,1.0,2.0,3,7554.0,6000.0,2,3500.0,2,20
44,1,0,3,1.0,1.0,2.0,3,8758.0,5000.0,2,3000.0,2,30
51,14,2,2,1.5,1.0,1.0,3,4379.0,547.0,1,1642.0,3,24
47,1,2,2,1.0,1.0,1.0,3,4708.0,0.0,1,3000.0,2,33
43,1,0,2,1.0,1.0,1.0,3,5036.0,5000.0,1,2000.0,2,33
47,1,0,6,1.0,2.0,5.0,3,7992.0,6900.0,3,4000.0,2,35
45,1,2,2,1.0,1.0,1.0,3,5036.0,3000.0,1,1000.0,3,32
29,1,0,6,1.0,1.0,2.0,3,14998.0,10000.0,3,3000.0,2,26
29,1,0,5,1.5,2.0,1.0,3,19815.0,8800.0,3,2200.0,1,33
45,1,0,5,1.0,2.0,4.0,3,16859.0,3800.0,1,0.0,3,34
43,1,0,8,1.0,0.0,6.0,3,9962.0,6000.0,3,2000.0,2,18
42,14,2,3,1.5,1.0,2.0,3,7992.0,7980.0,1,1980.0,1,12
49,1,0,4,1.0,0.0,4.0,3,7992.0,5474.0,2,1095.0,2,20
7,1,0,4,1.0,0.0,3.0,3,14998.0,6000.0,2,2000.0,1,26
27,23,0,9,1.0,3.0,2.0,3,7992.0,3500.0,2,2500.0,1,31
43,1,0,4,1.0,2.0,4.0,3,10948.0,3500.0,4,1000.0,2,24
46,14,2,2,1.0,1.0,2.0,3,2737.0,766.0,1,2190.0,1,18
46,16,0,5,1.0,1.0,2.0,3,4489.0,6500.0,2,3000.0,1,34
44,14,2,2,1.0,1.0,2.0,3,6788.0,0.0,1,4500.0,2,24
47,1,0,6,1.0,1.0,3.0,3,16422.0,4379.0,4,3284.0,1,26
47,1,0,8,1.0,1.0,5.0,3,15874.0,5474.0,6,3284.0,1,28
45,1,0,3,1.0,1.0,2.0,3,12042.0,4000.0,2,1500.0,2,26
49,14,2,4,1.0,1.0,2.0,3,4051.0,3000.0,1,2000.0,2,20
43,1,0,6,1.0,1.0,5.0,3,14998.0,8000.0,3,3000.0,2,35
45,1,0,4,1.0,2.0,4.0,3,13028.0,3800.0,1,0.0,3,30
46,1,0,4,1.0,0.0,3.0,3,2956.0,4000.0,3,1000.0,1,26
47,14,2,2,1.5,1.0,2.0,3,4051.0,3000.0,1,2300.0,1,31
45,14,2,3,2.0,1.0,3.0,3,15984.0,5000.0,1,900.0,2,23
45,14,0,4,1.5,1.0,4.0,3,16969.0,8000.0,1,2000.0,1,18
45,1,0,4,1.0,1.0,3.0,3,15984.0,7000.0,1,2000.0,1,20
49,14,0,3,1.0,1.0,2.0,3,7773.0,5500.0,2,2000.0,2,31
49,14,2,2,1.0,1.0,2.0,3,4051.0,3000.0,1,2000.0,2,19
43,1,0,3,1.0,1.0,1.0,3,8539.0,6000.0,1,4000.0,1,25
29,1,0,6,1.5,2.0,3.0,3,16093.0,10000.0,2,2500.0,1,30
47,14,0,8,2.0,2.0,8.0,3,9962.0,2000.0,6,2000.0,2,36
51,1,0,5,1.0,1.0,1.0,3,19706.0,1642.0,2,1095.0,3,27
45,1,0,4,1.0,1.0,2.0,3,15984.0,4000.0,2,2000.0,2,16
50,10,0,3,1.0,1.0,0.0,3,8758.0,3500.0,2,3800.0,2,40
42,14,2,3,1.0,1.0,3.0,3,6021.0,2000.0,2,1000.0,1,40
49,14,2,2,1.0,1.0,1.0,3,4051.0,3000.0,1,2000.0,2,20
20,12,2,2,0.5,1.0,1.0,3,6021.0,1500.0,1,1000.0,1,9
20,12,2,4,1.0,1.0,3.0,3,16969.0,2000.0,2,5000.0,1,22
20,11,0,2,1.0,1.0,2.0,3,5474.0,2000.0,1,3000.0,2,20
33,14,2,2,1.0,1.0,4.0,3,3503.0,1000.0,1,2000.0,1,22
47,1,0,5,1.0,2.0,3.0,3,7992.0,6900.0,3,4000.0,2,33
45,1,0,5,1.0,1.0,5.0,3,9525.0,5000.0,2,3000.0,1,33
33,14,2,2,1.0,1.0,2.0,3,3284.0,1000.0,1,2000.0,1,29
47,14,2,4,2.0,1.0,4.0,3,4051.0,1000.0,3,2000.0,1,37
19,14,0,6,1.0,2.0,4.0,3,12809.0,7000.0,4,1500.0,1,35
20,12,2,2,0.5,1.0,1.0,3,6021.0,1500.0,1,1000.0,1,11
46,10,0,5,2.0,2.0,3.0,3,12480.0,6500.0,2,1500.0,2,45
45,14,2,3,2.0,1.0,3.0,3,8977.0,5000.0,1,900.0,2,22
49,14,0,4,1.0,2.0,0.0,3,7992.0,2500.0,2,3500.0,1,21
29,14,2,2,1.0,1.0,2.0,3,5255.0,1000.0,1,1500.0,2,18
43,1,0,4,1.0,1.0,2.0,3,14779.0,8211.0,2,0.0,3,25
46,1,0,4,1.0,1.0,1.0,3,13028.0,8500.0,2,2000.0,3,29
51,1,0,6,1.0,2.0,3.0,3,16312.0,10948.0,3,2737.0,2,24
33,14,2,2,1.0,1.0,2.0,3,9525.0,0.0,1,0.0,1,26
45,14,2,2,2.0,1.0,2.0,3,15984.0,5000.0,1,900.0,2,22
45,14,2,3,2.0,1.0,3.0,3,15984.0,5000.0,1,900.0,2,23
45,14,2,3,2.0,1.0,3.0,3,16093.0,5000.0,1,900.0,2,22
45,14,2,3,2.0,1.0,3.0,3,15984.0,5000.0,1,900.0,2,23
51,14,0,11,1.5,3.0,4.0,3,28026.0,9000.0,1,0.0,2,37
3,1,0,2,1.0,1.0,1.0,3,9525.0,4000.0,1,1500.0,3,27
46,16,0,10,2.0,2.0,6.0,3,8977.0,13000.0,4,3000.0,1,35
49,3,1,3,1.0,1.0,3.0,3,23538.0,0.0,2,3500.0,1,14
42,14,2,2,1.5,1.0,2.0,3,4489.0,2000.0,1,2500.0,2,18
47,1,0,3,1.0,1.0,2.0,3,7663.0,5474.0,2,1095.0,2,28
45,1,0,3,1.0,0.0,2.0,3,7554.0,6000.0,2,1500.0,1,22
51,1,0,6,1.0,2.0,5.0,3,15874.0,8758.0,3,3832.0,1,23
32,14,2,3,1.0,1.0,0.0,3,4489.0,1000.0,1,2500.0,1,14
49,14,0,9,2.0,2.0,6.0,3,25180.0,10948.0,6,2080.0,2,31
45,1,0,4,1.0,1.0,2.0,3,13028.0,5000.0,2,2000.0,1,27
45,16,0,6,1.5,2.0,3.0,3,18830.0,7000.0,1,0.0,3,26
43,1,0,2,1.0,1.0,2.0,3,9853.0,3000.0,1,2000.0,2,18
45,1,0,3,1.5,1.0,0.0,3,11824.0,5000.0,2,2000.0,1,26
33,14,0,2,1.0,0.0,1.0,3,11495.0,3000.0,2,4000.0,2,39
42,1,0,4,1.0,1.0,4.0,3,5474.0,3502.0,1,2000.0,3,28
45,7,0,3,1.5,1.0,0.0,3,13028.0,5000.0,2,2000.0,1,29
43,1,0,4,1.0,1.0,3.0,3,12042.0,8000.0,2,3000.0,2,36
3,1,0,2,1.0,1.0,2.0,3,2518.0,1000.0,1,2000.0,1,16
6,14,2,6,1.5,2.0,6.0,3,2956.0,0.0,1,3000.0,2,33
19,14,2,6,1.0,3.0,2.0,3,5036.0,1500.0,2,4500.0,2,34
49,14,0,9,2.0,2.0,5.0,3,25180.0,10948.0,6,2080.0,2,32
49,14,0,11,2.0,3.0,4.0,3,25180.0,10948.0,6,2080.0,2,35
49,14,0,7,1.0,2.0,3.0,3,16750.0,7663.0,4,2080.0,2,32
19,14,0,8,1.0,3.0,7.0,3,4489.0,8500.0,4,0.0,2,21
44,1,0,4,1.0,2.0,3.0,3,11824.0,2000.0,2,3000.0,3,20
4,1,0,3,1.0,1.0,2.0,3,8977.0,3000.0,3,2000.0,2,19
51,1,0,6,1.0,2.0,2.0,3,14998.0,7800.0,3,2000.0,1,34
51,1,0,6,1.0,2.0,3.0,3,14998.0,7800.0,3,2000.0,1,32
29,1,0,6,2.0,1.0,4.0,3,14998.0,10010.0,2,2500.0,1,31
45,1,0,4,1.0,1.0,2.0,3,14998.0,4000.0,2,1509.0,2,22
45,1,0,4,1.0,1.0,2.0,3,16531.0,5500.0,2,1500.0,2,23
46,16,0,5,1.0,1.0,3.0,3,5036.0,6500.0,2,3000.0,1,34
45,1,0,6,1.0,2.0,3.0,3,11933.0,3284.0,1,2737.0,1,30
45,1,0,4,1.0,0.0,2.0,3,13247.0,0.0,2,2200.0,2,21
51,14,0,10,1.0,3.0,4.0,3,10619.0,7000.0,2,4000.0,1,29
45,1,0,4,1.0,1.0,2.0,3,4270.0,6021.0,1,1642.0,1,26
46,16,0,4,1.0,1.0,2.0,3,4817.0,6500.0,2,3000.0,1,35
45,1,0,4,1.0,0.0,2.0,3,13247.0,0.0,2,2200.0,2,21
49,1,0,4,1.0,1.0,3.0,3,13137.0,5474.0,1,1642.0,1,35
18,14,2,2,1.0,1.0,2.0,3,3941.0,2000.0,2,1800.0,2,21
45,1,0,3,1.0,1.0,2.0,3,9962.0,6500.0,2,2000.0,2,27
45,1,0,6,0.5,2.0,3.0,3,18830.0,7000.0,6,5000.0,3,32
18,14,2,2,1.0,1.0,2.0,3,4598.0,2000.0,2,2000.0,3,21
43,1,0,8,1.0,2.0,5.0,3,35033.0,8000.0,3,5000.0,2,32
16,1,2,1,1.0,1.0,1.0,3,1752.0,1800.0,1,0.0,1,16
16,1,2,1,1.0,1.0,1.0,3,1752.0,1800.0,1,0.0,1,15
16,1,2,1,1.0,1.0,1.0,3,1752.0,1800.0,1,0.0,1,16
6,1,0,4,1.0,0.0,2.0,3,6350.0,8000.0,2,2500.0,2,24
18,14,2,2,1.0,1.0,2.0,3,5036.0,2000.0,2,2000.0,3,32
43,1,0,3,1.0,1.0,2.0,3,20034.0,6000.0,3,2000.0,1,35
4,1,0,4,1.0,1.0,2.0,3,12042.0,3500.0,4,3000.0,2,15
4,1,0,4,1.0,0.0,2.0,3,12042.0,3000.0,4,3000.0,2,16
45,7,0,6,1.5,1.0,6.0,3,35033.0,8000.0,6,0.0,2,21
27,14,2,3,1.0,1.0,2.0,3,3503.0,1000.0,1,1200.0,1,26
49,14,2,4,1.0,1.0,0.0,3,9962.0,2000.0,2,4000.0,1,19
49,1,0,5,1.0,2.0,0.0,3,10729.0,4500.0,2,3200.0,2,30
49,1,0,5,1.0,1.0,1.0,3,10072.0,4500.0,2,2800.0,2,28
51,14,0,12,1.0,3.0,5.0,3,17078.0,8000.0,2,4000.0,1,34
43,1,0,4,1.0,1.0,2.0,3,14013.0,5000.0,2,3000.0,2,19
47,1,0,3,1.0,1.0,2.0,3,7663.0,5474.0,2,1095.0,2,28
51,1,0,5,1.0,1.0,2.0,3,14123.0,9853.0,2,2190.0,2,21
3,1,0,8,1.0,2.0,4.0,3,8977.0,6500.0,3,2000.0,2,21
43,1,0,3,1.0,1.0,0.0,3,20034.0,6000.0,2,1200.0,1,34
49,14,2,6,2.0,1.0,6.0,3,5036.0,4000.0,1,3500.0,2,31
47,12,2,2,1.5,1.0,2.0,3,4489.0,2500.0,2,2500.0,1,33
18,14,2,4,0.5,1.0,4.0,3,3503.0,5000.0,1,2500.0,3,17
45,1,0,3,1.0,1.0,0.0,3,6240.0,5036.0,2,4379.0,1,28
43,1,0,2,1.0,1.0,1.0,3,9743.0,3284.0,2,0.0,2,29
43,1,0,7,2.0,2.0,4.0,3,25946.0,10000.0,4,3000.0,2,23
